Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
AALTO,"3,950,000","1,959.05","2,016",Jan-21,MEYER ROAD,Resale,Strata,182,"21,703",-,Condominium,1,Freehold,15,Rest of Central Region,06 to 10
THE SEAFRONT ON MEYER,"2,860,000","1,614.6","1,771",Jan-21,MEYER ROAD,Resale,Strata,150,"19,067",-,Condominium,1,Freehold,15,Rest of Central Region,11 to 15
KATONG REGENCY,"988,000",570.49,"1,732",Jan-21,TANJONG KATONG ROAD,Resale,Strata,53,"18,642",-,Apartment,1,Freehold,15,Rest of Central Region,06 to 10
COSTA RHU,"2,600,000","1,969.81","1,320",Jan-21,RHU CROSS,Resale,Strata,183,"14,208",-,Condominium,1,99 yrs lease commencing from 1994,15,Rest of Central Region,01 to 05
THE MAKENA,"2,550,000","1,636.13","1,559",Jan-21,MEYER ROAD,Resale,Strata,152,"16,776",-,Condominium,1,Freehold,15,Rest of Central Region,16 to 20
KATONG REGENCY,"1,088,999",710.42,"1,533",Jan-21,TANJONG KATONG ROAD,Resale,Strata,66,"16,500",-,Apartment,1,Freehold,15,Rest of Central Region,06 to 10
THE SEAWIND,"1,396,000",936.47,"1,491",Jan-21,LORONG M TELOK KURAU,Resale,Strata,87,"16,046",-,Condominium,1,Freehold,15,Outside Central Region,01 to 05
AMBER SKYE,"2,900,000","1,334.74","2,173",Jan-21,AMBER ROAD,Resale,Strata,124,"23,387",-,Apartment,1,Freehold,15,Rest of Central Region,11 to 15
SIGLAP V,"580,000",452.09,"1,283",Jan-21,FIRST STREET,Resale,Strata,42,"13,810",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
SIGLAP V,"800,000",570.49,"1,402",Jan-21,FIRST STREET,Resale,Strata,53,"15,094",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
THE MEYERISE,"1,788,000",882.65,"2,026",Jan-21,MEYER ROAD,Resale,Strata,82,"21,805",-,Condominium,1,Freehold,15,Rest of Central Region,06 to 10
LAGOON VIEW,"1,400,000","1,646.89",850,Jan-21,MARINE PARADE ROAD,Resale,Strata,153,"9,150",-,Apartment,1,99 yrs lease commencing from 1977,15,Outside Central Region,01 to 05
SILVERSEA,"3,100,000","1,689.95","1,834",Jan-21,MARINE PARADE ROAD,Resale,Strata,157,"19,745",-,Condominium,1,99 yrs lease commencing from 2007,15,Rest of Central Region,11 to 15
RIVEREDGE,"2,328,800","1,593.07","1,462",Jan-21,SAMPAN PLACE,Resale,Strata,148,"15,735",-,Condominium,1,99 yrs lease commencing from 2004,15,Rest of Central Region,06 to 10
THE LINE @ TANJONG RHU,"2,557,440","1,184.04","2,160",Jan-21,TANJONG RHU ROAD,Resale,Strata,110,"23,249",-,Condominium,1,Freehold,15,Rest of Central Region,11 to 15
NEPTUNE COURT,"1,485,000","1,636.13",908,Jan-21,MARINE VISTA,Resale,Strata,152,"9,770",-,Apartment,1,99 yrs lease commencing from 1975,15,Outside Central Region,06 to 10
SIGLAP V,"750,000",516.67,"1,452",Jan-21,FIRST STREET,Resale,Strata,48,"15,625",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
COSTA RHU,"2,060,000","1,646.89","1,251",Jan-21,RHU CROSS,Resale,Strata,153,"13,464",-,Condominium,1,99 yrs lease commencing from 1994,15,Rest of Central Region,01 to 05
DUNMAN VIEW,"1,280,000","1,184.04","1,081",Jan-21,HAIG ROAD,Resale,Strata,110,"11,636",-,Condominium,1,99 yrs lease commencing from 1997,15,Rest of Central Region,06 to 10
TANJONG RIA CONDOMINIUM,"1,335,000","1,205.57","1,107",Jan-21,TANJONG RHU ROAD,Resale,Strata,112,"11,920",-,Condominium,1,99 yrs lease commencing from 1993,15,Rest of Central Region,01 to 05
PROSPERO VILLE,"1,040,000","1,076.4",966,Jan-21,LORONG K TELOK KURAU,Resale,Strata,100,"10,400",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
THE LINE @ TANJONG RHU,"2,235,000","1,054.87","2,119",Jan-21,TANJONG RHU ROAD,Resale,Strata,98,"22,806",-,Condominium,1,Freehold,15,Rest of Central Region,11 to 15
MODA,"1,600,000",968.76,"1,652",Jan-21,EAST COAST ROAD,Resale,Strata,90,"17,778",-,Apartment,1,Freehold,15,Rest of Central Region,06 to 10
SIGLAP LODGE,"1,490,000","1,377.79","1,081",Jan-21,UPPER EAST COAST ROAD,Resale,Strata,128,"11,641",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
SANCTUARY GREEN,"1,750,000","1,485.43","1,178",Jan-21,TANJONG RHU ROAD,Resale,Strata,138,"12,681",-,Condominium,1,99 yrs lease commencing from 1997,15,Rest of Central Region,01 to 05
HAIG COURT,"2,250,000","1,474.67","1,526",Jan-21,HAIG ROAD,Resale,Strata,137,"16,423",-,Condominium,1,Freehold,15,Rest of Central Region,16 to 20
PARC ELEGANCE,"627,000",441.32,"1,421",Jan-21,TELOK KURAU ROAD,Resale,Strata,41,"15,293",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
BLU CORAL,"1,803,400","2,098.98",859,Jan-21,LORONG L TELOK KURAU,Resale,Strata,195,"9,248",-,Condominium,1,Freehold,15,Outside Central Region,01 to 05
COTE D'AZUR,"1,595,000","1,151.75","1,385",Jan-21,MARINE PARADE ROAD,Resale,Strata,107,"14,907",-,Condominium,1,99 yrs lease commencing from 2001,15,Rest of Central Region,16 to 20
ESPIRA SUITES,"898,000",678.13,"1,324",Jan-21,LORONG G TELOK KURAU,Resale,Strata,63,"14,254",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
COTE D'AZUR,"2,200,000","1,679.18","1,310",Jan-21,MARINE PARADE ROAD,Resale,Strata,156,"14,103",-,Condominium,1,99 yrs lease commencing from 2001,15,Rest of Central Region,01 to 05
PEBBLE BAY,"2,630,000","1,894.46","1,388",Jan-21,TANJONG RHU ROAD,Resale,Strata,176,"14,943",-,Condominium,1,99 yrs lease commencing from 1994,15,Rest of Central Region,06 to 10
MALVERN SPRINGS,"1,928,000","1,356.26","1,422",Jan-21,ONAN ROAD,Resale,Strata,126,"15,302",-,Condominium,1,Freehold,15,Rest of Central Region,01 to 05
HAIG 162,"870,000",581.26,"1,497",Jan-21,HAIG ROAD,Resale,Strata,54,"16,111",-,Apartment,1,Freehold,15,Rest of Central Region,11 to 15
ST PATRICK'S LOFT,"1,680,000","1,227.1","1,369",Jan-21,ST. PATRICK'S ROAD,Resale,Strata,114,"14,737",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
PEBBLE BAY,"3,126,000","1,894.46","1,650",Jan-21,TANJONG RHU ROAD,Resale,Strata,176,"17,761",-,Condominium,1,99 yrs lease commencing from 1994,15,Rest of Central Region,11 to 15
MODA,"1,590,000",968.76,"1,641",Jan-21,EAST COAST ROAD,Resale,Strata,90,"17,667",-,Apartment,1,Freehold,15,Rest of Central Region,11 to 15
MANDARIN GARDENS,"2,180,000","2,034.4","1,072",Jan-21,SIGLAP ROAD,Resale,Strata,189,"11,534",-,Condominium,1,99 yrs lease commencing from 1982,15,Outside Central Region,16 to 20
LAGOON VIEW,"1,570,000","1,646.89",953,Jan-21,MARINE PARADE ROAD,Resale,Strata,153,"10,261",-,Apartment,1,99 yrs lease commencing from 1977,15,Outside Central Region,06 to 10
THE WATERSIDE,"3,740,000","2,174.33","1,720",Jan-21,TANJONG RHU ROAD,Resale,Strata,202,"18,515",-,Condominium,1,Freehold,15,Rest of Central Region,16 to 20
TEMBELINA,"1,250,000","1,076.4","1,161",Jan-21,TEMBELING ROAD,Resale,Strata,100,"12,500",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
THE SOUND,"1,305,000",839.59,"1,554",Jan-21,EAST COAST ROAD,Resale,Strata,78,"16,731",-,Condominium,1,Freehold,15,Outside Central Region,01 to 05
THE LINE @ TANJONG RHU,"2,553,600","1,216.33","2,099",Jan-21,TANJONG RHU ROAD,Resale,Strata,113,"22,598",-,Condominium,1,Freehold,15,Rest of Central Region,06 to 10
FLAMINGO VALLEY,"3,660,000","2,680.24","1,366",Jan-21,SIGLAP ROAD,Resale,Strata,249,"14,699",-,Condominium,1,Freehold,15,Outside Central Region,01 to 05
GALLERY 8,"1,550,000","1,205.57","1,286",Jan-21,PULASAN ROAD,Resale,Strata,112,"13,839",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
THE LINE @ TANJONG RHU,"2,600,000","1,065.64","2,440",Jan-21,TANJONG RHU ROAD,Resale,Strata,99,"26,263",-,Condominium,1,Freehold,15,Rest of Central Region,11 to 15
SILVERSEA,"5,150,000","2,464.96","2,089",Jan-21,MARINE PARADE ROAD,Resale,Strata,229,"22,489",-,Condominium,1,99 yrs lease commencing from 2007,15,Rest of Central Region,11 to 15
HAIG ELEVEN,"1,800,000","1,560.78","1,153",Jan-21,HAIG AVENUE,Resale,Strata,145,"12,414",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
SANCTUARY GREEN,"1,010,000",785.77,"1,285",Jan-21,TANJONG RHU ROAD,Resale,Strata,73,"13,836",-,Condominium,1,99 yrs lease commencing from 1997,15,Rest of Central Region,01 to 05
SUITES TWENTY-TWO,"1,060,000",893.41,"1,186",Jan-21,LORONG G TELOK KURAU,Resale,Strata,83,"12,771",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
BELLA CASITA,"720,000",505.91,"1,423",Jan-21,IPOH LANE,Resale,Strata,47,"15,319",-,Apartment,1,Freehold,15,Rest of Central Region,16 to 20
PROSPERO VILLE,"1,010,000","1,033.34",977,Jan-21,LORONG K TELOK KURAU,Resale,Strata,96,"10,521",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
ONAN SUITES,"1,900,000","1,937.52",981,Jan-21,ONAN ROAD,Resale,Strata,180,"10,556",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
COSTA ESTE,"920,000",731.95,"1,257",Jan-21,LORONG K TELOK KURAU,Resale,Strata,68,"13,529",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
LE CONNEY PARK,"1,530,000","1,539.25",994,Jan-21,LORONG L TELOK KURAU,Resale,Strata,143,"10,699",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
THE SEA VIEW,"2,800,000","1,410.08","1,986",Jan-21,AMBER ROAD,Resale,Strata,131,"21,374",-,Condominium,1,Freehold,15,Rest of Central Region,21 to 25
D'ECOSIA,"1,820,000","1,227.1","1,483",Jan-21,STILL ROAD SOUTH,Resale,Strata,114,"15,965",-,Condominium,1,Freehold,15,Outside Central Region,01 to 05
AXIS @ SIGLAP,"1,501,888","1,754.53",856,Jan-21,EAST COAST TERRACE,Resale,Strata,163,"9,214",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
THE ESTA,"2,500,000","1,410.08","1,773",Jan-21,AMBER GARDENS,Resale,Strata,131,"19,084",-,Condominium,1,Freehold,15,Rest of Central Region,06 to 10
PEBBLE BAY,"2,608,000","1,894.46","1,377",Jan-21,TANJONG RHU ROAD,Resale,Strata,176,"14,818",-,Condominium,1,99 yrs lease commencing from 1994,15,Rest of Central Region,06 to 10
AURALIS,"700,000",462.85,"1,512",Jan-21,EAST COAST ROAD,Resale,Strata,43,"16,279",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
THE SEAFRONT ON MEYER,"2,830,000","1,603.84","1,765",Jan-21,MEYER ROAD,Resale,Strata,149,"18,993",-,Condominium,1,Freehold,15,Rest of Central Region,01 to 05
MANDARIN GARDENS,"2,201,001","2,034.4","1,082",Jan-21,SIGLAP ROAD,Resale,Strata,189,"11,646",-,Condominium,1,99 yrs lease commencing from 1982,15,Outside Central Region,16 to 20
PALM LOFT,"1,450,000","1,679.18",864,Jan-21,JOO CHIAT TERRACE,Resale,Strata,156,"9,295",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
EASTSIDE LOFT,"1,800,000","1,399.32","1,286",Jan-21,TANJONG KATONG ROAD,Resale,Strata,130,"13,846",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
CASUARINA COVE,"1,850,000","1,528.49","1,210",Dec-20,TANJONG RHU ROAD,Resale,Strata,142,"13,028",-,Condominium,1,99 yrs lease commencing from 1993,15,Rest of Central Region,11 to 15
CEYLON RESIDENCE,"1,290,000",936.47,"1,378",Dec-20,CEYLON ROAD,Resale,Strata,87,"14,828",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
WATER PLACE,"1,550,000","1,216.33","1,274",Dec-20,TANJONG RHU ROAD,Resale,Strata,113,"13,717",-,Condominium,1,99 yrs lease commencing from 1998,15,Rest of Central Region,11 to 15
CALLIDORA VILLE,"1,195,000","1,140.98","1,047",Dec-20,LORONG N TELOK KURAU,Resale,Strata,106,"11,274",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
CASUARINA COVE,"1,800,000","1,463.9","1,230",Dec-20,TANJONG RHU ROAD,Resale,Strata,136,"13,235",-,Condominium,1,99 yrs lease commencing from 1993,15,Rest of Central Region,01 to 05
RESIDENTIAL APARTMENTS,"1,270,000",893.41,"1,422",Dec-20,CHAPEL CLOSE,Resale,Strata,83,"15,301",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
MANDARIN GARDENS,"2,150,000","2,023.63","1,062",Dec-20,SIGLAP ROAD,Resale,Strata,188,"11,436",-,Condominium,1,99 yrs lease commencing from 1982,15,Outside Central Region,01 to 05
VILLA MARINA,"1,320,000","1,248.62","1,057",Dec-20,JALAN SEMPADAN,Resale,Strata,116,"11,379",-,Condominium,1,99 yrs lease commencing from 1995,15,Outside Central Region,01 to 05
COTE D'AZUR,"1,810,000","1,270.15","1,425",Dec-20,MARINE PARADE ROAD,Resale,Strata,118,"15,339",-,Condominium,1,99 yrs lease commencing from 2001,15,Rest of Central Region,06 to 10
EASTBAY,"850,000",581.26,"1,462",Dec-20,TAY LIAN TECK ROAD,Resale,Strata,54,"15,741",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
JUPITER 18,"938,000",785.77,"1,194",Dec-20,LORONG 102 CHANGI,Resale,Strata,73,"12,849",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
VILLA MARINA,"1,340,000","1,248.62","1,073",Dec-20,JALAN SEMPADAN,Resale,Strata,116,"11,552",-,Condominium,1,99 yrs lease commencing from 1995,15,Outside Central Region,01 to 05
LAGOON VIEW,"1,768,000","1,646.89","1,074",Dec-20,MARINE PARADE ROAD,Resale,Strata,153,"11,556",-,Apartment,1,99 yrs lease commencing from 1977,15,Outside Central Region,21 to 25
PARADISE PALMS,"1,650,000","1,151.75","1,433",Dec-20,DUNMAN ROAD,Resale,Strata,107,"15,421",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
HAIG 162,"590,000",365.98,"1,612",Dec-20,HAIG ROAD,Resale,Strata,34,"17,353",-,Apartment,1,Freehold,15,Rest of Central Region,06 to 10
MODA,"1,650,000",968.76,"1,703",Dec-20,EAST COAST ROAD,Resale,Strata,90,"18,333",-,Apartment,1,Freehold,15,Rest of Central Region,06 to 10
VILLA MARINA,"1,850,000","2,314.26",799,Dec-20,JALAN SEMPADAN,Resale,Strata,215,"8,605",-,Condominium,1,99 yrs lease commencing from 1995,15,Outside Central Region,01 to 05
SANCTUARY GREEN,"1,075,000",785.77,"1,368",Dec-20,TANJONG RHU ROAD,Resale,Strata,73,"14,726",-,Condominium,1,99 yrs lease commencing from 1997,15,Rest of Central Region,06 to 10
THE AMARELLE,"1,850,000","1,614.6","1,146",Dec-20,LIM AH WOO ROAD,Resale,Strata,150,"12,333",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
PARC ELEGANCE,"555,000",398.27,"1,394",Dec-20,TELOK KURAU ROAD,Resale,Strata,37,"15,000",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
LAGOON VIEW,"1,750,000","1,646.89","1,063",Dec-20,MARINE PARADE ROAD,Resale,Strata,153,"11,438",-,Apartment,1,99 yrs lease commencing from 1977,15,Outside Central Region,21 to 25
THE WATERSIDE,"4,210,000","2,400.37","1,754",Dec-20,TANJONG RHU ROAD,Resale,Strata,223,"18,879",-,Condominium,1,Freehold,15,Rest of Central Region,16 to 20
LAGOON VIEW,"1,708,000","1,646.89","1,037",Dec-20,MARINE PARADE ROAD,Resale,Strata,153,"11,163",-,Apartment,1,99 yrs lease commencing from 1977,15,Outside Central Region,21 to 25
THE SEAWIND,"1,153,220",645.84,"1,786",Dec-20,LORONG M TELOK KURAU,Resale,Strata,60,"19,220",-,Condominium,1,Freehold,15,Outside Central Region,01 to 05
BOON COURT,"1,330,000","1,442.38",922,Dec-20,STILL ROAD,Resale,Strata,134,"9,925",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
PARADISE PALMS,"1,650,000","1,151.75","1,433",Dec-20,DUNMAN ROAD,Resale,Strata,107,"15,421",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
AXIS @ SIGLAP,"1,395,000","1,001.05","1,394",Dec-20,EAST COAST TERRACE,Resale,Strata,93,"15,000",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
THE SHORE RESIDENCES,"966,000",592.02,"1,632",Dec-20,AMBER ROAD,Resale,Strata,55,"17,564",-,Condominium,1,103 yrs lease commencing from 2009,15,Rest of Central Region,06 to 10
EAST GROVE,"1,250,000","1,044.11","1,197",Dec-20,EAST COAST ROAD,Resale,Strata,97,"12,887",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
SERAYA COURT,"1,600,000","1,840.64",869,Dec-20,SERAYA LANE,Resale,Strata,171,"9,357",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
PARC BLEU,"635,000",462.85,"1,372",Dec-20,JOO CHIAT PLACE,Resale,Strata,43,"14,767",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
PARADISE PALMS,"1,720,000","1,151.75","1,493",Dec-20,DUNMAN ROAD,Resale,Strata,107,"16,075",-,Apartment,1,Freehold,15,Rest of Central Region,11 to 15
PARKSHORE,"2,460,500","1,646.89","1,494",Dec-20,TANJONG RHU ROAD,Resale,Strata,153,"16,082",-,Condominium,1,Freehold,15,Rest of Central Region,06 to 10
HAIG COURT,"2,420,000","1,582.31","1,529",Dec-20,HAIG ROAD,Resale,Strata,147,"16,463",-,Condominium,1,Freehold,15,Rest of Central Region,11 to 15
LEGENDA AT JOO CHIAT,"1,030,000","1,033.34",997,Dec-20,JOO CHIAT LANE,Resale,Strata,96,"10,729",-,Condominium,1,99 yrs lease commencing from 2001,15,Rest of Central Region,01 to 05
FLAMINGO VALLEY,"2,030,000","1,388.56","1,462",Dec-20,SIGLAP ROAD,Resale,Strata,129,"15,736",-,Condominium,1,Freehold,15,Outside Central Region,01 to 05
LAVERNE'S LOFT,"575,000",398.27,"1,444",Dec-20,LORONG L TELOK KURAU,Resale,Strata,37,"15,541",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
MEIER SUITES,"3,688,000","2,228.15","1,655",Dec-20,MARGATE ROAD,Resale,Strata,207,"17,816",-,Condominium,1,Freehold,15,Rest of Central Region,11 to 15
SIGLAP V,"630,000",495.14,"1,272",Dec-20,FIRST STREET,Resale,Strata,46,"13,696",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
RITZ REGENCY,"1,688,000","1,194.8","1,413",Dec-20,IPOH LANE,Resale,Strata,111,"15,207",-,Apartment,1,Freehold,15,Rest of Central Region,11 to 15
EASTSIDE LOFT,"2,630,000","2,120.51","1,240",Dec-20,TANJONG KATONG ROAD,Resale,Strata,197,"13,350",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
ARTHUR MANSIONS,"2,620,000","1,636.13","1,601",Dec-20,ARTHUR ROAD,Resale,Strata,152,"17,237",-,Condominium,1,Freehold,15,Rest of Central Region,06 to 10
NEPTUNE COURT,"1,400,000","1,636.13",856,Dec-20,MARINE VISTA,Resale,Strata,152,"9,211",-,Apartment,1,99 yrs lease commencing from 1975,15,Outside Central Region,11 to 15
THE ESTA,"2,625,000","1,560.78","1,682",Dec-20,AMBER GARDENS,Resale,Strata,145,"18,103",-,Condominium,1,Freehold,15,Rest of Central Region,06 to 10
THE LINE @ TANJONG RHU,"2,408,888","1,065.64","2,261",Dec-20,TANJONG RHU ROAD,Resale,Strata,99,"24,332",-,Condominium,1,Freehold,15,Rest of Central Region,11 to 15
BUTTERWORTH 8,"1,915,000","1,313.21","1,458",Dec-20,BUTTERWORTH LANE,Resale,Strata,122,"15,697",-,Condominium,1,Freehold,15,Rest of Central Region,01 to 05
FLAMINGO VALLEY,"1,318,800",990.29,"1,332",Dec-20,SIGLAP ROAD,Resale,Strata,92,"14,335",-,Condominium,1,Freehold,15,Outside Central Region,01 to 05
LAGUNA PARK,"1,500,000","1,614.6",929,Dec-20,MARINE PARADE ROAD,Resale,Strata,150,"10,000",-,Apartment,1,99 yrs lease commencing from 1977,15,Outside Central Region,01 to 05
THE SERENNIA,"1,913,888","1,980.58",966,Dec-20,PULASAN ROAD,Resale,Strata,184,"10,402",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
ONE EIGHTIES RESIDENCES,"1,238,000",828.83,"1,494",Dec-20,JOO CHIAT TERRACE,Resale,Strata,77,"16,078",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
MARSHALL LODGE,"2,050,000","1,776.06","1,154",Dec-20,MARSHALL ROAD,Resale,Strata,165,"12,424",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
PARKSHORE,"4,200,000","2,325.02","1,806",Dec-20,TANJONG RHU ROAD,Resale,Strata,216,"19,444",-,Condominium,1,Freehold,15,Rest of Central Region,06 to 10
HAIG 162,"576,600",365.98,"1,576",Dec-20,HAIG ROAD,Resale,Strata,34,"16,959",-,Apartment,1,Freehold,15,Rest of Central Region,11 to 15
STUDIOS@TEMBELING,"600,000",398.27,"1,507",Dec-20,TEMBELING ROAD,Resale,Strata,37,"16,216",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
D' CASTILIA,"700,000",602.78,"1,161",Dec-20,JOO CHIAT LANE,Resale,Strata,56,"12,500",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
THE ATRIA AT MEYER,"2,600,000","1,474.67","1,763",Dec-20,MEYER ROAD,Resale,Strata,137,"18,978",-,Condominium,1,Freehold,15,Rest of Central Region,16 to 20
CELESTIA,"1,088,000",871.88,"1,248",Dec-20,JOO CHIAT TERRACE,Resale,Strata,81,"13,432",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
ROYALE MANSIONS,"1,130,000","1,119.46","1,009",Dec-20,PULASAN ROAD,Resale,Strata,104,"10,865",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
NEPTUNE COURT,"1,030,000","1,270.15",811,Dec-20,MARINE VISTA,Resale,Strata,118,"8,729",-,Apartment,1,99 yrs lease commencing from 1976,15,Outside Central Region,01 to 05
TANJONG RIA CONDOMINIUM,"1,620,000","1,377.79","1,176",Dec-20,TANJONG RHU ROAD,Resale,Strata,128,"12,656",-,Condominium,1,99 yrs lease commencing from 1993,15,Rest of Central Region,11 to 15
SUITES @ EASTCOAST,"547,000",355.21,"1,540",Dec-20,UPPER EAST COAST ROAD,Resale,Strata,33,"16,576",-,Condominium,1,Freehold,15,Outside Central Region,01 to 05
THE BELVEDERE,"2,600,000","1,377.79","1,887",Dec-20,MEYER ROAD,Resale,Strata,128,"20,313",-,Condominium,1,Freehold,15,Rest of Central Region,16 to 20
SPRING @ KATONG,"1,680,000","1,119.46","1,501",Dec-20,CEYLON ROAD,Resale,Strata,104,"16,154",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
THE COTZ,"630,000",452.09,"1,394",Dec-20,TELOK KURAU ROAD,Resale,Strata,42,"15,000",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
THE WATERSIDE,"3,380,000","2,142.04","1,578",Dec-20,TANJONG RHU ROAD,Resale,Strata,199,"16,985",-,Condominium,1,Freehold,15,Rest of Central Region,16 to 20
THE MEYERISE,"2,750,000","1,270.15","2,165",Dec-20,MEYER ROAD,Resale,Strata,118,"23,305",-,Condominium,1,Freehold,15,Rest of Central Region,26 to 30
PEBBLE BAY,"4,328,000","2,626.42","1,648",Dec-20,TANJONG RHU ROAD,Resale,Strata,244,"17,738",-,Condominium,1,99 yrs lease commencing from 1994,15,Rest of Central Region,06 to 10
THE ESTA,"1,900,000","1,001.05","1,898",Dec-20,AMBER GARDENS,Resale,Strata,93,"20,430",-,Condominium,1,Freehold,15,Rest of Central Region,11 to 15
CASUARINA COVE,"1,630,000","1,388.56","1,174",Dec-20,TANJONG RHU ROAD,Resale,Strata,129,"12,636",-,Condominium,1,99 yrs lease commencing from 1993,15,Rest of Central Region,01 to 05
D' MARINE,"2,210,000","1,894.46","1,167",Dec-20,JOO CHIAT ROAD,Resale,Strata,176,"12,557",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
THE SEAFRONT ON MEYER,"3,240,000","1,614.6","2,007",Dec-20,MEYER ROAD,Resale,Strata,150,"21,600",-,Condominium,1,Freehold,15,Rest of Central Region,16 to 20
SPRING @ LANGSAT,"1,300,000","1,140.98","1,139",Dec-20,LANGSAT ROAD,Resale,Strata,106,"12,264",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
RESIDENCE 66,"1,810,000","1,851.41",978,Dec-20,TELOK KURAU ROAD,Resale,Strata,172,"10,523",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
THE MAKENA,"1,838,888","1,151.75","1,597",Dec-20,MEYER ROAD,Resale,Strata,107,"17,186",-,Condominium,1,Freehold,15,Rest of Central Region,06 to 10
STILL 123,"1,190,000","1,140.98","1,043",Dec-20,LANGSAT ROAD,Resale,Strata,106,"11,226",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
RESIDENTIAL APARTMENTS,"1,888,000","1,948.28",969,Dec-20,CRANE ROAD,Resale,Strata,181,"10,431",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
SPRING @ KATONG,"1,680,000","1,334.74","1,259",Dec-20,CEYLON ROAD,Resale,Strata,124,"13,548",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
THE ESTA,"2,615,000","1,560.78","1,675",Dec-20,AMBER GARDENS,Resale,Strata,145,"18,034",-,Condominium,1,Freehold,15,Rest of Central Region,16 to 20
HAIG COURT,"2,010,000","1,442.38","1,394",Dec-20,HAIG ROAD,Resale,Strata,134,"15,000",-,Condominium,1,Freehold,15,Rest of Central Region,01 to 05
MEIER SUITES,"3,050,000","1,797.59","1,697",Dec-20,MARGATE ROAD,Resale,Strata,167,"18,263",-,Condominium,1,Freehold,15,Rest of Central Region,11 to 15
THE AMERY,"2,420,000","2,066.69","1,171",Dec-20,LORONG K TELOK KURAU,Resale,Strata,192,"12,604",-,Condominium,1,Freehold,15,Outside Central Region,01 to 05
ONE FORT,"1,818,000","1,205.57","1,508",Dec-20,FORT ROAD,Resale,Strata,112,"16,232",-,Condominium,1,Freehold,15,Rest of Central Region,11 to 15
COSTA RHU,"1,600,000","1,345.5","1,189",Dec-20,RHU CROSS,Resale,Strata,125,"12,800",-,Condominium,1,99 yrs lease commencing from 1994,15,Rest of Central Region,11 to 15
THE MAKENA,"2,650,000","1,614.6","1,641",Dec-20,MEYER ROAD,Resale,Strata,150,"17,667",-,Condominium,1,Freehold,15,Rest of Central Region,16 to 20
IMPERIAL HEIGHTS,"1,340,000","1,033.34","1,297",Dec-20,IPOH LANE,Resale,Strata,96,"13,958",-,Apartment,1,Freehold,15,Rest of Central Region,06 to 10
